user_id,total_chests,premium_chests,avg_time_interval,burst_count,daily_entropy
0x000b40d38fac5e895dccd8530f6735160937d2b7,37,0,86087.94444444444,0,3.610917912644225
0x0024460133a71479179f2de3462f2cfae9ffdcda,37,0,86121.69444444444,0,3.53598308231342
0x0051d641c0626b8fdbe6185e77daad8e8bc98d72,37,0,86089.94444444444,0,3.610917912644225
0x008501cb991e8ac35eefdbb9b22075551f49a9c7,36,0,86142.45714285714,0,3.5835189384561104
0x0093ea15432e595a3653c0aa034417e1bda73d4c,36,0,86150.17142857143,0,3.5835189384561104
0x00aeea11e620aa1cc818ab58b28e3b0ad1d66b9c,1,0,,0,0.0
0x00cb955eb811a89369d8f79aaca6afbda13e4d14,37,0,83731.36111111111,0,3.5734504974788224
0x00e0168c03d35ef8ae1fce69682cda2d6741cefd,4,0,517520.6666666667,0,0.5623351446188083
0x00e2d4d1dbb61d38beafe2814aae4c404262dfe4,3,0,2164.5,0,0.0
0x010e44ecc8f2a80c835676053c06fe0f1593ce41,37,0,83740.36111111111,0,3.5734504974788224
0x0147bb98834bae6c1b8c72b0370b336430daa899,362,360,3784.6464646464647,86,1.6094379124341005
0x017f698145a0c01b55c018c0542d5c2d9675322b,3,0,2808.0,0,0.0
0x018a4fd6c3e3060aadef02b01c644d34f98ecd7b,37,0,86117.08333333333,0,3.53598308231342
0x01a58ff9bd8422b792f47d594665cf82a6bd0df3,37,0,86116.33333333333,0,3.5734504974788224
0x01c33546aaaab0e1fe9bc87d89c82b3cdd05264c,37,0,86123.41666666667,0,3.5734504974788224
0x01c847f2b01d77dc6396982e32a670bbe2d84924,36,0,86148.8,0,3.5835189384561104
0x01f019518d3e1b90a26bd27795e282086997e8e9,37,0,83736.86111111111,0,3.5734504974788224
0x020bd0537f8ed284d086cf2ba221940a9758f781,37,0,83741.69444444444,0,3.5734504974788224
0x02159b815adc389aca5ce6d62764900e8bf4b21a,36,0,86147.0,0,3.5835189384561104
0x02160ce6fed3c00bcb4966b3ac5b64aff82ee7f4,37,0,86086.61111111111,0,3.610917912644225
0x02388d9b9a26c29285e79d35d64a5720bd471af9,36,0,86131.4857142857,0,3.5835189384561104
0x0252e4a9faec9e6274a3106b063c458e827af67d,37,0,86104.86111111111,0,3.5734504974788224
0x025ef7a4275656ee46262db22b2d62304a9b1df7,37,0,83742.69444444444,0,3.5734504974788224
0x02612e5424e5da9a3f43d21187cb79130552de26,37,0,83740.02777777778,0,3.5734504974788224
0x029581e5f7fab74877d587e1742fbeff92e06ff2,37,0,83738.27777777778,0,3.5734504974788224
0x02b848b70e1b679003e753d4e833bbcfa23a5d19,37,0,86088.94444444444,0,3.610917912644225
0x02d6777f595229504c7f2ba8f541c2f5bd24af1c,37,0,83741.61111111111,0,3.5734504974788224
0x02dd7dd8b8ddb99bd5cbdf6f91ea448930db6fcd,0,0,,0,0.0
0x02ddbc00a7f0fbf42772200cb5c205125e72a85d,37,0,86114.66666666667,0,3.5734504974788224
0x030a3d3b608aaa75253529958708d87032f135df,36,0,86131.05714285714,0,3.5835189384561104
0x0335e209250bbdc3ec82a3b9bed09c77538a1f81,37,0,86123.66666666667,0,3.53598308231342
0x034ccf5805f11a7d227d543c2516f9d1bc366cfc,3,0,1990.5,0,0.0
0x03617592481f9a1545c12c0b8872283dc5838746,37,0,83739.02777777778,0,3.5734504974788224
0x0366778fd675ce4f828ad6917df30e82cfe7bce5,36,0,86144.77142857143,0,3.5450107617583355
0x03722aaeb20f8118fb2dc798f7ea6a8987c7bdef,36,0,86134.05714285714,0,3.5835189384561104
0x03751c86b9e8825b5f3a9b40f9acaa4d3961e29e,37,0,86092.27777777778,0,3.610917912644225
0x0393d49964be6920ccb50915c1e6081d6ca020d4,37,0,86097.77777777778,0,3.610917912644225
